trapId,week,province,avg(temperature),avg(humidity),name,region,closeToWater,vegetation,bugs
33,11,MI,8.496031382727244,59.581427982875276,MI33,Lombardia,Yes,52,2
32,11,MI,8.496031382727244,59.581427982875276,MI32,Lombardia,Yes,28,2
31,11,MI,8.496031382727244,59.581427982875276,MI31,Lombardia,Yes,10,1
40,14,MI,10.510317484537762,59.82142802647182,MI40,Lombardia,No,95,4
39,14,MI,10.510317484537762,59.82142802647182,MI39,Lombardia,No,66,3
38,14,MI,10.510317484537762,59.82142802647182,MI38,Lombardia,No,49,3
37,14,MI,10.510317484537762,59.82142802647182,MI37,Lombardia,No,29,3
36,14,MI,10.510317484537762,59.82142802647182,MI36,Lombardia,No,8,3
35,14,MI,10.510317484537762,59.82142802647182,MI35,Lombardia,Yes,88,4
34,14,MI,10.510317484537762,59.82142802647182,MI34,Lombardia,Yes,70,4
33,14,MI,10.510317484537762,59.82142802647182,MI33,Lombardia,Yes,52,3
32,14,MI,10.510317484537762,59.82142802647182,MI32,Lombardia,Yes,28,3
31,14,MI,10.510317484537762,59.82142802647182,MI31,Lombardia,Yes,10,3
30,31,FC,27.002380613296754,45.24428612845285,FC30,Emilia-Romagna,No,89,15
29,31,FC,27.002380613296754,45.24428612845285,FC29,Emilia-Romagna,No,71,15
28,31,FC,27.002380613296754,45.24428612845285,FC28,Emilia-Romagna,No,46,12
27,31,FC,27.002380613296754,45.24428612845285,FC27,Emilia-Romagna,No,25,11
26,31,FC,27.002380613296754,45.24428612845285,FC26,Emilia-Romagna,No,7,10
25,31,FC,27.002380613296754,45.24428612845285,FC25,Emilia-Romagna,Yes,87,17
24,31,FC,27.002380613296754,45.24428612845285,FC24,Emilia-Romagna,Yes,73,14
23,31,FC,27.002380613296754,45.24428612845285,FC23,Emilia-Romagna,Yes,50,12
22,31,FC,27.002380613296754,45.24428612845285,FC22,Emilia-Romagna,Yes,26,11
21,31,FC,27.002380613296754,45.24428612845285,FC21,Emilia-Romagna,Yes,9,10
20,26,RA,26.175396631634424,52.715714590890066,RA20,Emilia-Romagna,No,91,5
19,26,RA,26.175396631634424,52.715714590890066,RA19,Emilia-Romagna,No,69,4
18,26,RA,26.175396631634424,52.715714590890066,RA18,Emilia-Romagna,No,50,4
17,26,RA,26.175396631634424,52.715714590890066,RA17,Emilia-Romagna,No,30,4
16,26,RA,26.175396631634424,52.715714590890066,RA16,Emilia-Romagna,No,11,4
15,26,RA,26.175396631634424,52.715714590890066,RA15,Emilia-Romagna,Yes,88,5
14,26,RA,26.175396631634424,52.715714590890066,RA14,Emilia-Romagna,Yes,68,5
13,26,RA,26.175396631634424,52.715714590890066,RA13,Emilia-Romagna,Yes,47,4
12,26,RA,26.175396631634424,52.715714590890066,RA12,Emilia-Romagna,Yes,27,4
11,26,RA,26.175396631634424,52.715714590890066,RA11,Emilia-Romagna,Yes,10,3
40,19,MI,16.959524003286212,68.66857038225446,MI40,Lombardia,No,95,6
39,19,MI,16.959524003286212,68.66857038225446,MI39,Lombardia,No,66,6
38,19,MI,16.959524003286212,68.66857038225446,MI38,Lombardia,No,49,6
37,19,MI,16.959524003286212,68.66857038225446,MI37,Lombardia,No,29,5
36,19,MI,16.959524003286212,68.66857038225446,MI36,Lombardia,No,8,4
35,19,MI,16.959524003286212,68.66857038225446,MI35,Lombardia,Yes,88,6
34,19,MI,16.959524003286212,68.66857038225446,MI34,Lombardia,Yes,70,6
33,19,MI,16.959524003286212,68.66857038225446,MI33,Lombardia,Yes,52,6
32,19,MI,16.959524003286212,68.66857038225446,MI32,Lombardia,Yes,28,5
31,19,MI,16.959524003286212,68.66857038225446,MI31,Lombardia,Yes,10,4
40,31,MI,25.207142300075954,63.07428577968052,MI40,Lombardia,No,95,15
39,31,MI,25.207142300075954,63.07428577968052,MI39,Lombardia,No,66,13
38,31,MI,25.207142300075954,63.07428577968052,MI38,Lombardia,No,49,12
37,31,MI,25.207142300075954,63.07428577968052,MI37,Lombardia,No,29,11
36,31,MI,25.207142300075954,63.07428577968052,MI36,Lombardia,No,8,10
35,31,MI,25.207142300075954,63.07428577968052,MI35,Lombardia,Yes,88,13
34,31,MI,25.207142300075954,63.07428577968052,MI34,Lombardia,Yes,70,13
33,31,MI,25.207142300075954,63.07428577968052,MI33,Lombardia,Yes,52,12
32,31,MI,25.207142300075954,63.07428577968052,MI32,Lombardia,Yes,28,11
31,31,MI,25.207142300075954,63.07428577968052,MI31,Lombardia,Yes,10,10
30,42,FC,13.624603029281376,70.42285701206752,FC30,Emilia-Romagna,No,89,19
29,42,FC,13.624603029281376,70.42285701206752,FC29,Emilia-Romagna,No,71,16
28,42,FC,13.624603029281376,70.42285701206752,FC28,Emilia-Romagna,No,46,17
27,42,FC,13.624603029281376,70.42285701206752,FC27,Emilia-Romagna,No,25,15
26,42,FC,13.624603029281376,70.42285701206752,FC26,Emilia-Romagna,No,7,13
25,42,FC,13.624603029281376,70.42285701206752,FC25,Emilia-Romagna,Yes,87,19
24,42,FC,13.624603029281376,70.42285701206752,FC24,Emilia-Romagna,Yes,73,19
23,42,FC,13.624603029281376,70.42285701206752,FC23,Emilia-Romagna,Yes,50,17
22,42,FC,13.624603029281376,70.42285701206752,FC22,Emilia-Romagna,Yes,26,15
21,42,FC,13.624603029281376,70.42285701206752,FC21,Emilia-Romagna,Yes,9,13
10,31,BO,26.057143438430057,55.82571465628488,BO10,Emilia-Romagna,No,92,14
9,31,BO,26.057143438430057,55.82571465628488,BO9,Emilia-Romagna,No,80,13
8,31,BO,26.057143438430057,55.82571465628488,BO8,Emilia-Romagna,No,55,12
7,31,BO,26.057143438430057,55.82571465628488,BO7,Emilia-Romagna,No,28,11
6,31,BO,26.057143438430057,55.82571465628488,BO6,Emilia-Romagna,No,12,10
5,31,BO,26.057143438430057,55.82571465628488,BO5,Emilia-Romagna,Yes,90,16
4,31,BO,26.057143438430057,55.82571465628488,BO4,Emilia-Romagna,Yes,75,13
3,31,BO,26.057143438430057,55.82571465628488,BO3,Emilia-Romagna,Yes,48,12
2,31,BO,26.057143438430057,55.82571465628488,BO2,Emilia-Romagna,Yes,32,10
1,31,BO,26.057143438430057,55.82571465628488,BO1,Emilia-Romagna,Yes,11,9
40,32,MI,26.09603215777685,54.68000030517578,MI40,Lombardia,No,95,16
39,32,MI,26.09603215777685,54.68000030517578,MI39,Lombardia,No,66,14
38,32,MI,26.09603215777685,54.68000030517578,MI38,Lombardia,No,49,14
37,32,MI,26.09603215777685,54.68000030517578,MI37,Lombardia,No,29,12
36,32,MI,26.09603215777685,54.68000030517578,MI36,Lombardia,No,8,10
35,32,MI,26.09603215777685,54.68000030517578,MI35,Lombardia,Yes,88,18
34,32,MI,26.09603215777685,54.68000030517578,MI34,Lombardia,Yes,70,17
33,32,MI,26.09603215777685,54.68000030517578,MI33,Lombardia,Yes,52,14
32,32,MI,26.09603215777685,54.68000030517578,MI32,Lombardia,Yes,28,12
31,32,MI,26.09603215777685,54.68000030517578,MI31,Lombardia,Yes,10,10
10,29,BO,24.876189458937876,62.42285755702427,BO10,Emilia-Romagna,No,92,9
9,29,BO,24.876189458937876,62.42285755702427,BO9,Emilia-Romagna,No,80,8
8,29,BO,24.876189458937876,62.42285755702427,BO8,Emilia-Romagna,No,55,7
7,29,BO,24.876189458937876,62.42285755702427,BO7,Emilia-Romagna,No,28,6
6,29,BO,24.876189458937876,62.42285755702427,BO6,Emilia-Romagna,No,12,5
5,29,BO,24.876189458937876,62.42285755702427,BO5,Emilia-Romagna,Yes,90,9
4,29,BO,24.876189458937876,62.42285755702427,BO4,Emilia-Romagna,Yes,75,7
3,29,BO,24.876189458937876,62.42285755702427,BO3,Emilia-Romagna,Yes,48,7
2,29,BO,24.876189458937876,62.42285755702427,BO2,Emilia-Romagna,Yes,32,6
1,29,BO,24.876189458937876,62.42285755702427,BO1,Emilia-Romagna,Yes,11,5
10,16,BO,9.91111119588216,68.28857312883649,BO10,Emilia-Romagna,No,92,5
9,16,BO,9.91111119588216,68.28857312883649,BO9,Emilia-Romagna,No,80,4
8,16,BO,9.91111119588216,68.28857312883649,BO8,Emilia-Romagna,No,55,4
7,16,BO,9.91111119588216,68.28857312883649,BO7,Emilia-Romagna,No,28,4
6,16,BO,9.91111119588216,68.28857312883649,BO6,Emilia-Romagna,No,12,4
5,16,BO,9.91111119588216,68.28857312883649,BO5,Emilia-Romagna,Yes,90,5
4,16,BO,9.91111119588216,68.28857312883649,BO4,Emilia-Romagna,Yes,75,5
3,16,BO,9.91111119588216,68.28857312883649,BO3,Emilia-Romagna,Yes,48,5
2,16,BO,9.91111119588216,68.28857312883649,BO2,Emilia-Romagna,Yes,32,4
1,16,BO,9.91111119588216,68.28857312883649,BO1,Emilia-Romagna,Yes,11,3
20,29,RA,24.840476626441593,66.63142830984933,RA20,Emilia-Romagna,No,91,9
19,29,RA,24.840476626441593,66.63142830984933,RA19,Emilia-Romagna,No,69,8
18,29,RA,24.840476626441593,66.63142830984933,RA18,Emilia-Romagna,No,50,7
17,29,RA,24.840476626441593,66.63142830984933,RA17,Emilia-Romagna,No,30,6
16,29,RA,24.840476626441593,66.63142830984933,RA16,Emilia-Romagna,No,11,6
15,29,RA,24.840476626441593,66.63142830984933,RA15,Emilia-Romagna,Yes,88,8
14,29,RA,24.840476626441593,66.63142830984933,RA14,Emilia-Romagna,Yes,68,7
13,29,RA,24.840476626441593,66.63142830984933,RA13,Emilia-Romagna,Yes,47,7
12,29,RA,24.840476626441593,66.63142830984933,RA12,Emilia-Romagna,Yes,27,6
11,29,RA,24.840476626441593,66.63142830984933,RA11,Emilia-Romagna,Yes,10,6
30,21,FC,18.911903623550653,58.26428549630301,FC30,Emilia-Romagna,No,89,9
29,21,FC,18.911903623550653,58.26428549630301,FC29,Emilia-Romagna,No,71,10
28,21,FC,18.911903623550653,58.26428549630301,FC28,Emilia-Romagna,No,46,8
27,21,FC,18.911903623550653,58.26428549630301,FC27,Emilia-Romagna,No,25,7
26,21,FC,18.911903623550653,58.26428549630301,FC26,Emilia-Romagna,No,7,6
25,21,FC,18.911903623550653,58.26428549630301,FC25,Emilia-Romagna,Yes,87,11
24,21,FC,18.911903623550653,58.26428549630301,FC24,Emilia-Romagna,Yes,73,9
23,21,FC,18.911903623550653,58.26428549630301,FC23,Emilia-Romagna,Yes,50,9
22,21,FC,18.911903623550653,58.26428549630301,FC22,Emilia-Romagna,Yes,26,8
21,21,FC,18.911903623550653,58.26428549630301,FC21,Emilia-Romagna,Yes,9,6
40,38,MI,19.794443524073042,72.49285670689174,MI40,Lombardia,No,95,48
39,38,MI,19.794443524073042,72.49285670689174,MI39,Lombardia,No,66,43
38,38,MI,19.794443524073042,72.49285670689174,MI38,Lombardia,No,49,39
37,38,MI,19.794443524073042,72.49285670689174,MI37,Lombardia,No,29,34
36,38,MI,19.794443524073042,72.49285670689174,MI36,Lombardia,No,8,30
35,38,MI,19.794443524073042,72.49285670689174,MI35,Lombardia,Yes,88,48
34,38,MI,19.794443524073042,72.49285670689174,MI34,Lombardia,Yes,70,47
33,38,MI,19.794443524073042,72.49285670689174,MI33,Lombardia,Yes,52,38
32,38,MI,19.794443524073042,72.49285670689174,MI32,Lombardia,Yes,28,35
31,38,MI,19.794443524073042,72.49285670689174,MI31,Lombardia,Yes,10,30
20,14,RA,10.721428280784968,58.55714307512556,RA20,Emilia-Romagna,No,91,3
19,14,RA,10.721428280784968,58.55714307512556,RA19,Emilia-Romagna,No,69,4
18,14,RA,10.721428280784968,58.55714307512556,RA18,Emilia-Romagna,No,50,3
17,14,RA,10.721428280784968,58.55714307512556,RA17,Emilia-Romagna,No,30,3
16,14,RA,10.721428280784968,58.55714307512556,RA16,Emilia-Romagna,No,11,3
15,14,RA,10.721428280784968,58.55714307512556,RA15,Emilia-Romagna,Yes,88,4
14,14,RA,10.721428280784968,58.55714307512556,RA14,Emilia-Romagna,Yes,68,3
13,14,RA,10.721428280784968,58.55714307512556,RA13,Emilia-Romagna,Yes,47,3
12,14,RA,10.721428280784968,58.55714307512556,RA12,Emilia-Romagna,Yes,27,3
11,14,RA,10.721428280784968,58.55714307512556,RA11,Emilia-Romagna,Yes,10,3
20,9,RA,7.939682309589689,70.7614277430943,RA20,Emilia-Romagna,No,91,0
19,9,RA,7.939682309589689,70.7614277430943,RA19,Emilia-Romagna,No,69,0
18,9,RA,7.939682309589689,70.7614277430943,RA18,Emilia-Romagna,No,50,0
17,9,RA,7.939682309589689,70.7614277430943,RA17,Emilia-Romagna,No,30,0
16,9,RA,7.939682309589689,70.7614277430943,RA16,Emilia-Romagna,No,11,0
15,9,RA,7.939682309589689,70.7614277430943,RA15,Emilia-Romagna,Yes,88,0
14,9,RA,7.939682309589689,70.7614277430943,RA14,Emilia-Romagna,Yes,68,0
13,9,RA,7.939682309589689,70.7614277430943,RA13,Emilia-Romagna,Yes,47,0
12,9,RA,7.939682309589689,70.7614277430943,RA12,Emilia-Romagna,Yes,27,0
11,9,RA,7.939682309589689,70.7614277430943,RA11,Emilia-Romagna,Yes,10,0
20,38,RA,19.872222173781626,75.73285675048828,RA20,Emilia-Romagna,No,91,52
19,38,RA,19.872222173781626,75.73285675048828,RA19,Emilia-Romagna,No,69,47
18,38,RA,19.872222173781626,75.73285675048828,RA18,Emilia-Romagna,No,50,42
17,38,RA,19.872222173781626,75.73285675048828,RA17,Emilia-Romagna,No,30,33
16,38,RA,19.872222173781626,75.73285675048828,RA16,Emilia-Romagna,No,11,30
15,38,RA,19.872222173781626,75.73285675048828,RA15,Emilia-Romagna,Yes,88,47
14,38,RA,19.872222173781626,75.73285675048828,RA14,Emilia-Romagna,Yes,68,48
13,38,RA,19.872222173781626,75.73285675048828,RA13,Emilia-Romagna,Yes,47,39
12,38,RA,19.872222173781626,75.73285675048828,RA12,Emilia-Romagna,Yes,27,36
11,38,RA,19.872222173781626,75.73285675048828,RA11,Emilia-Romagna,Yes,10,30
10,9,BO,8.23593101116142,68.66662280590504,BO10,Emilia-Romagna,No,92,0
9,9,BO,8.23593101116142,68.66662280590504,BO9,Emilia-Romagna,No,80,0
8,9,BO,8.23593101116142,68.66662280590504,BO8,Emilia-Romagna,No,55,0
7,9,BO,8.23593101116142,68.66662280590504,BO7,Emilia-Romagna,No,28,0
6,9,BO,8.23593101116142,68.66662280590504,BO6,Emilia-Romagna,No,12,0
5,9,BO,8.23593101116142,68.66662280590504,BO5,Emilia-Romagna,Yes,90,0
4,9,BO,8.23593101116142,68.66662280590504,BO4,Emilia-Romagna,Yes,75,0
3,9,BO,8.23593101116142,68.66662280590504,BO3,Emilia-Romagna,Yes,48,0
2,9,BO,8.23593101116142,68.66662280590504,BO2,Emilia-Romagna,Yes,32,0
1,9,BO,8.23593101116142,68.66662280590504,BO1,Emilia-Romagna,Yes,11,0
20,34,RA,23.538889809260294,63.59857068743025,RA20,Emilia-Romagna,No,91,18
19,34,RA,23.538889809260294,63.59857068743025,RA19,Emilia-Romagna,No,69,16
18,34,RA,23.538889809260294,63.59857068743025,RA18,Emilia-Romagna,No,50,14
17,34,RA,23.538889809260294,63.59857068743025,RA17,Emilia-Romagna,No,30,13
16,34,RA,23.538889809260294,63.59857068743025,RA16,Emilia-Romagna,No,11,12
15,34,RA,23.538889809260294,63.59857068743025,RA15,Emilia-Romagna,Yes,88,19
14,34,RA,23.538889809260294,63.59857068743025,RA14,Emilia-Romagna,Yes,68,17
13,34,RA,23.538889809260294,63.59857068743025,RA13,Emilia-Romagna,Yes,47,14
12,34,RA,23.538889809260294,63.59857068743025,RA12,Emilia-Romagna,Yes,27,13
11,34,RA,23.538889809260294,63.59857068743025,RA11,Emilia-Romagna,Yes,10,11
20,19,RA,17.1984130617172,66.56857081821987,RA20,Emilia-Romagna,No,91,7
19,19,RA,17.1984130617172,66.56857081821987,RA19,Emilia-Romagna,No,69,6
18,19,RA,17.1984130617172,66.56857081821987,RA18,Emilia-Romagna,No,50,6
17,19,RA,17.1984130617172,66.56857081821987,RA17,Emilia-Romagna,No,30,5
16,19,RA,17.1984130617172,66.56857081821987,RA16,Emilia-Romagna,No,11,4
15,19,RA,17.1984130617172,66.56857081821987,RA15,Emilia-Romagna,Yes,88,7
14,19,RA,17.1984130617172,66.56857081821987,RA14,Emilia-Romagna,Yes,68,6
13,19,RA,17.1984130617172,66.56857081821987,RA13,Emilia-Romagna,Yes,47,6
12,19,RA,17.1984130617172,66.56857081821987,RA12,Emilia-Romagna,Yes,27,5
11,19,RA,17.1984130617172,66.56857081821987,RA11,Emilia-Romagna,Yes,10,5
40,17,MI,14.11190456814236,72.83714294433594,MI40,Lombardia,No,95,7
39,17,MI,14.11190456814236,72.83714294433594,MI39,Lombardia,No,66,6
38,17,MI,14.11190456814236,72.83714294433594,MI38,Lombardia,No,49,5
37,17,MI,14.11190456814236,72.83714294433594,MI37,Lombardia,No,29,5
36,17,MI,14.11190456814236,72.83714294433594,MI36,Lombardia,No,8,4
35,17,MI,14.11190456814236,72.83714294433594,MI35,Lombardia,Yes,88,7
34,17,MI,14.11190456814236,72.83714294433594,MI34,Lombardia,Yes,70,6
33,17,MI,14.11190456814236,72.83714294433594,MI33,Lombardia,Yes,52,5
32,17,MI,14.11190456814236,72.83714294433594,MI32,Lombardia,Yes,28,5
31,17,MI,14.11190456814236,72.83714294433594,MI31,Lombardia,Yes,10,5
40,36,MI,21.56587388780382,57.07857131958008,MI40,Lombardia,No,95,42
39,36,MI,21.56587388780382,57.07857131958008,MI39,Lombardia,No,66,39
38,36,MI,21.56587388780382,57.07857131958008,MI38,Lombardia,No,49,37
37,36,MI,21.56587388780382,57.07857131958008,MI37,Lombardia,No,29,29
36,36,MI,21.56587388780382,57.07857131958008,MI36,Lombardia,No,8,27
35,36,MI,21.56587388780382,57.07857131958008,MI35,Lombardia,Yes,88,38
34,36,MI,21.56587388780382,57.07857131958008,MI34,Lombardia,Yes,70,41
33,36,MI,21.56587388780382,57.07857131958008,MI33,Lombardia,Yes,52,35
32,36,MI,21.56587388780382,57.07857131958008,MI32,Lombardia,Yes,28,30
31,36,MI,21.56587388780382,57.07857131958008,MI31,Lombardia,Yes,10,26
20,24,RA,23.680159553648934,64.95428466796875,RA20,Emilia-Romagna,No,91,7
19,24,RA,23.680159553648934,64.95428466796875,RA19,Emilia-Romagna,No,69,6
18,24,RA,23.680159553648934,64.95428466796875,RA18,Emilia-Romagna,No,50,6
17,24,RA,23.680159553648934,64.95428466796875,RA17,Emilia-Romagna,No,30,5
16,24,RA,23.680159553648934,64.95428466796875,RA16,Emilia-Romagna,No,11,5
15,24,RA,23.680159553648934,64.95428466796875,RA15,Emilia-Romagna,Yes,88,7
14,24,RA,23.680159553648934,64.95428466796875,RA14,Emilia-Romagna,Yes,68,7
13,24,RA,23.680159553648934,64.95428466796875,RA13,Emilia-Romagna,Yes,47,6
12,24,RA,23.680159553648934,64.95428466796875,RA12,Emilia-Romagna,Yes,27,5
11,24,RA,23.680159553648934,64.95428466796875,RA11,Emilia-Romagna,Yes,10,5
20,37,RA,21.963491288442462,62.26999936785017,RA20,Emilia-Romagna,No,91,41
19,37,RA,21.963491288442462,62.26999936785017,RA19,Emilia-Romagna,No,69,35
18,37,RA,21.963491288442462,62.26999936785017,RA18,Emilia-Romagna,No,50,29
17,37,RA,21.963491288442462,62.26999936785017,RA17,Emilia-Romagna,No,30,28
16,37,RA,21.963491288442462,62.26999936785017,RA16,Emilia-Romagna,No,11,24
15,37,RA,21.963491288442462,62.26999936785017,RA15,Emilia-Romagna,Yes,88,39
14,37,RA,21.963491288442462,62.26999936785017,RA14,Emilia-Romagna,Yes,68,32
13,37,RA,21.963491288442462,62.26999936785017,RA13,Emilia-Romagna,Yes,47,30
12,37,RA,21.963491288442462,62.26999936785017,RA12,Emilia-Romagna,Yes,27,28
11,37,RA,21.963491288442462,62.26999936785017,RA11,Emilia-Romagna,Yes,10,23
40,30,MI,26.442856561569943,65.83714294433594,MI40,Lombardia,No,95,10
39,30,MI,26.442856561569943,65.83714294433594,MI39,Lombardia,No,66,10
38,30,MI,26.442856561569943,65.83714294433594,MI38,Lombardia,No,49,9
37,30,MI,26.442856561569943,65.83714294433594,MI37,Lombardia,No,29,7
36,30,MI,26.442856561569943,65.83714294433594,MI36,Lombardia,No,8,7
35,30,MI,26.442856561569943,65.83714294433594,MI35,Lombardia,Yes,88,11
34,30,MI,26.442856561569943,65.83714294433594,MI34,Lombardia,Yes,70,9
33,30,MI,26.442856561569943,65.83714294433594,MI33,Lombardia,Yes,52,9
32,30,MI,26.442856561569943,65.83714294433594,MI32,Lombardia,Yes,28,7
31,30,MI,26.442856561569943,65.83714294433594,MI31,Lombardia,Yes,10,6
30,39,FC,19.588890075683594,74.28428649902344,FC30,Emilia-Romagna,No,89,54
29,39,FC,19.588890075683594,74.28428649902344,FC29,Emilia-Romagna,No,71,46
28,39,FC,19.588890075683594,74.28428649902344,FC28,Emilia-Romagna,No,46,47
27,39,FC,19.588890075683594,74.28428649902344,FC27,Emilia-Romagna,No,25,41
26,39,FC,19.588890075683594,74.28428649902344,FC26,Emilia-Romagna,No,7,35
25,39,FC,19.588890075683594,74.28428649902344,FC25,Emilia-Romagna,Yes,87,51
24,39,FC,19.588890075683594,74.28428649902344,FC24,Emilia-Romagna,Yes,73,49
23,39,FC,19.588890075683594,74.28428649902344,FC23,Emilia-Romagna,Yes,50,48
22,39,FC,19.588890075683594,74.28428649902344,FC22,Emilia-Romagna,Yes,26,39
21,39,FC,19.588890075683594,74.28428649902344,FC21,Emilia-Romagna,Yes,9,35
40,24,MI,24.092857724144345,63.92714309692383,MI40,Lombardia,No,95,7
39,24,MI,24.092857724144345,63.92714309692383,MI39,Lombardia,No,66,6
38,24,MI,24.092857724144345,63.92714309692383,MI38,Lombardia,No,49,6
37,24,MI,24.092857724144345,63.92714309692383,MI37,Lombardia,No,29,5
36,24,MI,24.092857724144345,63.92714309692383,MI36,Lombardia,No,8,4
35,24,MI,24.092857724144345,63.92714309692383,MI35,Lombardia,Yes,88,7
34,24,MI,24.092857724144345,63.92714309692383,MI34,Lombardia,Yes,70,7
33,24,MI,24.092857724144345,63.92714309692383,MI33,Lombardia,Yes,52,5
32,24,MI,24.092857724144345,63.92714309692383,MI32,Lombardia,Yes,28,5
31,24,MI,24.092857724144345,63.92714309692383,MI31,Lombardia,Yes,10,5
20,22,RA,19.296030922541544,60.89142826625279,RA20,Emilia-Romagna,No,91,9
19,22,RA,19.296030922541544,60.89142826625279,RA19,Emilia-Romagna,No,69,7
18,22,RA,19.296030922541544,60.89142826625279,RA18,Emilia-Romagna,No,50,7
17,22,RA,19.296030922541544,60.89142826625279,RA17,Emilia-Romagna,No,30,6
16,22,RA,19.296030922541544,60.89142826625279,RA16,Emilia-Romagna,No,11,6
15,22,RA,19.296030922541544,60.89142826625279,RA15,Emilia-Romagna,Yes,88,9
